t1      ,ch1     ,t2      ,ch2     
   8.159,    0.010,    8.159,   -0.006
   8.176,    0.007,    8.176,   -0.006
   8.192,    0.008,    8.192,   -0.006
   8.208,    0.012,    8.208,   -0.005
   8.225,    0.011,    8.225,   -0.005
   8.241,    0.011,    8.241,   -0.005
   8.258,    0.011,    8.258,   -0.005
   8.274,    0.007,    8.274,   -0.006
   8.290,    0.011,    8.290,   -0.005
   8.307,    0.009,    8.307,   -0.006
   8.323,    0.011,    8.323,   -0.005
   8.339,    0.015,    8.339,   -0.004
   8.356,    0.006,    8.356,   -0.007
   8.372,    0.009,    8.372,   -0.005
   8.389,    0.012,    8.389,   -0.005
   8.405,    0.011,    8.405,   -0.005
   8.421,    0.010,    8.421,   -0.005
   8.438,    0.011,    8.438,   -0.005
   8.454,    0.011,    8.454,   -0.005
   8.470,    0.009,    8.470,   -0.005
   8.487,    0.014,    8.487,   -0.004
   8.503,    0.007,    8.503,   -0.006
   8.520,    0.006,    8.520,   -0.006
   8.536,    0.009,    8.536,   -0.005
   8.552,    0.009,    8.552,   -0.006
   8.569,    0.006,    8.569,   -0.007
   8.585,    0.011,    8.585,   -0.005
   8.602,    0.007,    8.602,   -0.006
   8.618,    0.015,    8.618,   -0.003
   8.634,    0.009,    8.634,   -0.006
   8.651,    0.010,    8.651,   -0.005
   8.667,    0.006,    8.667,   -0.005
   8.684,    0.012,    8.684,   -0.004
   8.700,    0.011,    8.700,   -0.005
   8.716,    0.007,    8.716,   -0.006
   8.733,    0.010,    8.733,   -0.005
   8.749,    0.005,    8.749,   -0.006
   8.765,    0.004,    8.765,   -0.007
   8.782,    0.012,    8.782,   -0.005
   8.798,    0.005,    8.798,   -0.006
   8.815,    0.010,    8.815,   -0.005
   8.831,    0.007,    8.831,   -0.007
   8.847,    0.009,    8.847,   -0.005
   8.864,    0.009,    8.864,   -0.005
   8.880,    0.012,    8.880,   -0.004
   8.896,    0.011,    8.896,   -0.005
   8.913,    0.007,    8.913,   -0.006
   8.929,    0.012,    8.929,   -0.005
   8.946,    0.008,    8.946,   -0.006
   8.962,    0.013,    8.962,   -0.004
   8.978,    0.013,    8.978,   -0.005
   8.995,    0.011,    8.995,   -0.004
   9.011,    0.011,    9.011,   -0.005
   9.028,    0.007,    9.028,   -0.006
   9.044,    0.006,    9.044,   -0.006
   9.060,    0.009,    9.060,   -0.005
   9.077,    0.014,    9.077,   -0.004
   9.093,    0.008,    9.093,   -0.006
   9.110,    0.010,    9.110,   -0.005
   9.126,    0.011,    9.126,   -0.005
   9.142,    0.011,    9.142,   -0.005
   9.159,    0.012,    9.159,   -0.005
   9.175,    0.011,    9.175,   -0.005
